id,title,author,pub_year,publisher,price,img,class
16,DAVID WORSHIPED WITH A FERVENT FAITH,"Cornwall, Judson",1996,The Old Bookshelf,US$6.47 ,https://pictures.abebooks.com/isbn/9781560430896-us-300.jpg,Christian Bible Study
17,DAILY GRACE FROM PHILLIPIANS AND COLOSSI,PHILIP GEORGE,2004,The Old Bookshelf,US$4.58 ,https://pictures.abebooks.com/isbn/9780852345603-us-300.jpg,Christian Bible Study
18,"Megatokyo, Vol. 1","Gallagher, Fred & Rodney Caston",2004,"James F. Balsley, Bookseller",US$8.00 ,https://pictures.abebooks.com/inventory/md/md31254544061.jpg,Manga
19,On Carbohydrate Metabolism,"Pavy, F.W.",1906,Zetetic Books,US$65.38 ,https://pictures.abebooks.com/inventory/md/md14905056806.jpg,"Signed, Association Copies"
20,"Original Vintage Luggage Label - Grand Hotel des Wagons Lits, Peking",Dan Sweeney,1930,"Picture This (ABA, ILAB, IVPDA)",US$183.07 ,https://pictures.abebooks.com/inventory/md/md31374893504.jpg,Luggage Labels
21,Simon Finch Rare Books,"Finch, Simon",1886,Leakey's Bookshop Ltd.,US$65.38 ,https://pictures.abebooks.com/inventory/md/md12279114606.jpg,Bibliography
22,Mark Twain's Letters Volume I 1854 to 1866,"Clements, Samuel, Mark Twain, et al",1988,Charles Lewis Best Booksellers,US$15.00 ,https://pictures.abebooks.com/inventory/md/md30059163575.jpg,American Literature
23,Spirit of the Age,"Clifton-Taylor, Alec; Strong, Roy; Jordan, Robert Furneau...",1976,Balfour Books,US$6.54 ,https://pictures.abebooks.com/isbn/9780563128977-us-300.jpg,Architecture
24,Financial Accounting: Tools for Business Decision Making,Kimmel,2008,a2zbooks,US$20.99 ,https://pictures.abebooks.com/isbn/9780470239803-us-300.jpg,Accounting
25,Fundamentals Of Cost Accounting,Maher,2004,a2zbooks,US$19.88 ,https://pictures.abebooks.com/isbn/9780073018379-us-300.jpg,Accounting
26,In Search of England / In Search of Ireland,H. V. Morton,1936,Candleleaf,US$65.38 ,https://pictures.abebooks.com/inventory/md/md31449080674.jpg,Fine Bindings
27,Uninvited,Amanda Marrone,2007,The Book Nest Ltd,US$1.13 ,https://pictures.abebooks.com/isbn/9781847381828-us-300.jpg,Horror & Ghost Stories
28,THE DAMNATION GAME. Inscribed by the Author.,"BARKER, Clive.",1986,Thompson Rare Books - ABAC / ILAB,US$45.00 ,https://pictures.abebooks.com/inventory/md/md1317347661.jpg,Signed and Inscribed Books
29,OUT OF THE STORM. Uncollected Fantasies. One of 14 Special Copies Signed by the Editor.,"HODGSON, William Hope.",1975,Thompson Rare Books - ABAC / ILAB,US$35.00 ,https://pictures.abebooks.com/inventory/md/md31429323288.jpg,Signed and Inscribed Books
30,THE HOUND OF HEAVEN. A Commemorative Volume. Edited and Introduced by G. Krishnamurti. SIGNED BY ...,"THOMPSON, Francis; KRISHNAMURTI, G; WILLIAMSON, Henry & O...",1967,Thompson Rare Books - ABAC / ILAB,US$200.00 ,https://pictures.abebooks.com/inventory/md/md30765865221.jpg,Signed and Inscribed Books
31,Plants of Love. The History of Aphrodisiacs and a Guide to Their Identification and Use,"Ratsch, Christian",1997,"Mare Booksellers ABAA, IOBA",US$17.00 ,https://pictures.abebooks.com/inventory/md/md31288184641.jpg,New Age
32,The Luton News' Directory of Luton. (1936).,THE LUTON NEWS.:,1936,CHILTON BOOKS,US$39.23 ,https://pictures.abebooks.com/inventory/md/md30911806593.jpg,Local History (Directories)
33,Kelly's Directory Of Hull And Neighbourhood 1939 .,KELLY'S DIRECTORIES .:,1939,CHILTON BOOKS,US$39.23 ,https://pictures.abebooks.com/inventory/md/md30908938251.jpg,Local History (Directories)
34,Try This at Home,"Blais, Richard",2013,"Book Grove, RMABA",US$29.00 ,https://pictures.abebooks.com/isbn/9780307985279-us-300.jpg,Cookbooks
35,Five Kingdoms: An Illustrated Guide to the Phyla of Life on Earth,"Margulis, Lynn; Gould, Stephen Jay; Schwartz, Karlene V.",1998,Lake Country Books and More,US$19.99 ,https://pictures.abebooks.com/inventory/md/md30738691415.jpg,Biology
36,"Dictionary Of Evangelical Biography, 1730-1860 (2 Volume Set)",(editor) Donald Lewis,2004,Regent College Bookstore,US$45.47 ,https://pictures.abebooks.com/isbn/9781565639355-us-300.jpg,Dictionaries
37,Dictionary of Paul and His Letters (The IVP Bible Dictionary Series),"(editors) Gerald F. Hawthrone, etal.",1993,Regent College Bookstore,US$26.52 ,https://pictures.abebooks.com/isbn/9780830817788-us-300.jpg,Dictionaries
38,"The New International Dictionary of New Testament Theology, Vol. 1-3","Colin Brown, ed.",1981,Regent College Bookstore,US$18.95 ,https://pictures.abebooks.com/isbn/9780310218906-us-300.jpg,Dictionaries
39,The Murder of Roger Ackroyd; The Seven Dials Mystery; The Murder at the Vicarage; Peril at End Ho...,Agatha Christie,1955,Paperworks,US$65.38 ,https://pictures.abebooks.com/inventory/md/md31364946029.jpg,Agatha Christie
40,The Mysterious Mr Quin; The Murder at the Vicarage; The Sittaford Mystery; Why Didn t They Ask Ev...,Agatha Christie,1944,Paperworks,US$52.30 ,https://pictures.abebooks.com/inventory/md/md31364950194.jpg,Agatha Christie
41,Xhosa; Tales of Life from the African Veld,"Tredgold, Sir Robert",1973,Sapience Bookstore,US$9.42 ,https://pictures.abebooks.com/inventory/md/md11951131666.jpg,"Travel, Africa"
42,"History of Southern and Central Africa, The; It's Topography, Geography, Natural Productions, &c....",N/A,1111,Sapience Bookstore,US$3.14 ,https://pictures.abebooks.com/inventory/md/md10086220229.jpg,"Travel, Africa"
43,The Tartar Steppe,"Dino Buzzati, translated by Stuart Hood",1985,Hall of Books,US$13.01 ,https://pictures.abebooks.com/inventory/md/md31153307430.jpg,Travel (Asia)
44,Postscript to Seven homes,"Mitchell, Eleanor Swann",1960,Never Too Many Books,US$25.39 ,https://pictures.abebooks.com/inventory/md/md30791622044.jpg,Memoirs
45,Heinrich Boll: Briefe Aus Dem Krieg 1939-1945 Bands 1 & 2,"SCHUBERT, Jochen [editor]",2003,Horizon Books,US$21.00 ,https://pictures.abebooks.com/inventory/md/md30231314134.jpg,European History
46,NOT FAR FROM THE SMOKE. Inscribed by the Author.,"COWLES, Frederick.",1935,Thompson Rare Books - ABAC / ILAB,US$250.00 ,https://pictures.abebooks.com/inventory/md/md31306449146.jpg,Ghost Stories
47,Jazyk dirizherskogo zhesta.,Musin Ilia,2007,Ruslania,US$16.27 ,https://pictures.abebooks.com/inventory/md/md22016688240.jpg,Music Performing Art Books
48,"Accordion and Bayan Performance. Method, theory and history",SharovO. (ed.),2006,Ruslania,US$9.04 ,https://pictures.abebooks.com/inventory/md/md22016689756.jpg,Music Performing Art Books
49,The Vishnu Purana,"Wilson, H. H.; Sharma, R. N.",2004,Vedic Book Services,US$32.69 ,https://pictures.abebooks.com/isbn/9788170810421-us-300.jpg,Hinduism
50,The Geeta,Shri Purohit Swami,1935,Vedic Book Services,US$17.00 ,https://pictures.abebooks.com/inventory/md/md31327599847.jpg,Hinduism
51,"Bibliopegia: Or, the Art of Bookbinding in All Its Branches; Illustrated with Engravings.",John Andrews Arnett.,1835,"J & J House Booksellers, ABAA",US$150.00 ,https://pictures.abebooks.com/inventory/md/md22248362540.jpg,"Bibliography, Book Arts, Fine Printing"
52,Writing at the kitchen table: The authorized biography of Elizabeth David,"Cooper, Artemis",1999,cookbookjj,US$12.50 ,https://pictures.abebooks.com/isbn/9780718142247-us-300.jpg,Food Writing
53,Nobody Knows the Truffles I've Seen,"Lang, George",1999,cookbookjj,US$17.50 ,https://pictures.abebooks.com/inventory/md/md17417496181.jpg,Food Writing
54,"Books 1,2,3,4 All signed 1st Prints: The Thursday Murder Club, The Man Who Died Twice (Waterstone...","Osman, Richard",2020,95 sellers,"US$1,000.00 ",https://pictures.abebooks.com/inventory/md/md31003671845.jpg,Crime Fiction
55,The Citizen's Atlas of the World,John Bartholomew,1935,Rooke Books PBFA,US$61.13 ,https://pictures.abebooks.com/inventory/md/md31421144610.jpg,Atlases
56,"Le Costume Historique Tome Ii. Cinq Cents Planches Troiscents En Couleurs, Or Et Argent Deux Cent...","A, Racinet",1879,Open Door Books  MABA,"US$1,000.00 ",https://pictures.abebooks.com/inventory/md/md31498125689.jpg,Art History
57,Recollections And Reflections Of A Japanese Artist,"Markino, Yoshio",1931,Open Door Books  MABA,US$695.00 ,https://pictures.abebooks.com/inventory/md/md31061673633.jpg,Art History
58,MEMOIRS,"HURD, Rt Hon Lord Douglas, CH CBE",2003,Portman Rare Books,US$26.15 ,https://pictures.abebooks.com/inventory/md/md22844381625.jpg,Politics
59,THE EDGE OF MADNESS,"DOBBS, Michael",2008,Portman Rare Books,US$19.61 ,https://pictures.abebooks.com/inventory/md/md30057041607.jpg,Politics
60,The World of the Norsemen,"Oxenstierna, Eric",1967,Banfield House Booksellers,US$13.63 ,https://pictures.abebooks.com/inventory/md/md595888458.jpg,Ancient History
61,"The Sumerians: Their History, Culture, And Character.","Kramer, Samuel Noah.",1971,Banfield House Booksellers,US$10.22 ,https://pictures.abebooks.com/inventory/md/md31327308644.jpg,Ancient History
62,Kill the Messenger,"Ingham, Bernard",1991,Neville Wade,US$74.03 ,https://pictures.abebooks.com/inventory/md/md22279266960_2.jpg,"Business, Management And Corporate"
63,Maus a Survivors Tale : My Father Bleeds Histry,ART SPIEGELMAN,1986,Inquiring Minds,US$9.98 ,https://pictures.abebooks.com/isbn/9780394747231-us-300.jpg,Graphic Novels Youth
64,The Sleeper and the Spindle,Neil Gaiman,2015,Inquiring Minds,US$9.98 ,https://pictures.abebooks.com/isbn/9780062398246-us-300.jpg,Graphic Novels Youth
65,The Fifth Elephant,PRATCHETT Terry,1999,Kirk Ruebotham Bookseller,US$13.08 ,https://pictures.abebooks.com/isbn/9780385409957-us-300.jpg,Fantasy Fiction Hardcovers
66,Jingo,PRATCHETT Terry,1997,Kirk Ruebotham Bookseller,US$11.77 ,https://pictures.abebooks.com/isbn/9780575065406-us-300.jpg,Fantasy Fiction Hardcovers
67,Jingo,PRATCHETT Terry,1997,Kirk Ruebotham Bookseller,US$16.35 ,https://pictures.abebooks.com/isbn/9780575065406-us-300.jpg,Fantasy Fiction Hardcovers
68,The Amulet of Samarkand,"STROUD, Jonathan",2003,Kirk Ruebotham Bookseller,US$11.12 ,https://pictures.abebooks.com/isbn/9780385605991-us-300.jpg,Fantasy Fiction Hardcovers
69,Priestess of the White (Age of the Five Book One),"CANAVAN, Trudi",2006,Kirk Ruebotham Bookseller,US$9.15 ,https://pictures.abebooks.com/isbn/9781841493862-us-300.jpg,Fantasy Fiction Hardcovers
70,GOLD IN ONTARIO (signed copy),MICHAEL BARNES,1995,Paraphernalia Books 'N' Stuff,US$30.00 ,https://pictures.abebooks.com/inventory/md/md31207198714.jpg,Business and Industry
71,The world of Earl Hines (The world of swing ; v. 2),Stanley Dance,1977,Dunaway Books,US$55.00 ,https://pictures.abebooks.com/isbn/9780684149356-us-300.jpg,Music (Biographies)
72,Kansas City Lightning: The Rise and Times of Charlie Parker,Stanley Crouch,2014,Dunaway Books,US$8.50 ,https://pictures.abebooks.com/isbn/9780062005618-us-300.jpg,Music (Biographies)
73,The New Magic-Fit Master Pattern,Dusan,1984,"Pistil Books Online, IOBA",US$23.00 ,https://pictures.abebooks.com/inventory/md/md31162607651.jpg,Textiles
74,Textiles of Ancient Peru and Their Techniques,"D' Harcourt, Raoul",1974,"Pistil Books Online, IOBA",US$40.25 ,https://pictures.abebooks.com/inventory/md/md30754665701.jpg,Textiles
75,The Travels of Sir John Mandeville Beyond the Holy Land,John Mandeville; Lawrence G. Van Velzer and Peggy Gotthol...,2019,"Carpe Diem Fine Books, ABAA",US$131.00 ,https://pictures.abebooks.com/inventory/md/md31498387399.jpg,Fine Press
76,Emily and Oscar (SIGNED),"D'Ambrosio, Joseph",1979,"Carpe Diem Fine Books, ABAA",US$315.00 ,https://pictures.abebooks.com/inventory/md/md31118969256.jpg,Fine Press
77,MEI LI,"Handforth, Thomas",1938,Soaring Hawk Vintage,US$27.99 ,https://pictures.abebooks.com/inventory/md/md31552531410.jpg,Caldecott Medal Winners
78,Ox-Cart Man,"Hall, Donald; Barbara Cooney, Illustrator",1979,Soaring Hawk Vintage,US$49.99 ,https://pictures.abebooks.com/inventory/md/md31550592387.jpg,Caldecott Medal Winners
79,"Four letters, signed ""H. C. Parsons,"" from railroad executive and one-time owner of Natural Bridg...","PARSONS, HENRY CHESTER",1890,Zamboni & Huntington,US$300.00 ,https://pictures.abebooks.com/inventory/md/md22793834200.jpg,Autographs & Manuscripts
80,How to be a returned soldier,"PAUL, ELLIOT, and KARL ZAMBONI",1944,Zamboni & Huntington,US$125.00 ,https://pictures.abebooks.com/inventory/md/md31448605868.jpg,Autographs & Manuscripts
81,The Kernel and the Bean: The 75-Year Story of the Staley Company,"Forrestal, Dan J.",1982,"Granada Bookstore,            IOBA",US$29.99 ,https://pictures.abebooks.com/isbn/9780671458256-us-300.jpg,Agriculture
82,The ABC Murders,Agatha Christie,1936,Brought to Book Ltd,"US$1,111.47 ",https://pictures.abebooks.com/inventory/md/md30879514438.jpg,Agatha Christie
83,"Shades of Darkness Signed Gladys Mitchell, Malcolm Torrie","Malcolm Torrie, Gladys Mitchell",1970,Brought to Book Ltd,"US$1,111.47 ",https://pictures.abebooks.com/inventory/md/md31070768295.jpg,Agatha Christie
84,Murder In the Mews,Agatha Christie,1937,Brought to Book Ltd,"US$2,288.32 ",https://pictures.abebooks.com/inventory/md/md30879512685.jpg,Agatha Christie
85,Lord Edgware Dies,Agatha Christie,1933,Brought to Book Ltd,US$65.38 ,https://pictures.abebooks.com/inventory/md/md30879521199.jpg,Agatha Christie
86,"Mall Maker Victor Gruen, Architect of an American Dream","Hardwick, M. Jeffrey",2004,The Groaning Board,US$40.00 ,https://pictures.abebooks.com/inventory/md/md31353958577.jpg,Architecture
87,SOUR GRAPES: A Book of Poems,"Williams, William Carlos",1921,Tennyson Williams Books and Fine Art,US$50.00 ,https://pictures.abebooks.com/inventory/md/md22795876443.jpg,Literary First Editions
88,PARADISE LOST. A POEM IN TWELVE BOOKS; [bound with] PARADISE REGAIN'D: A POEM IN IV BOOKS; [and] ...,"Milton, John",1691,Tennyson Williams Books and Fine Art,US$500.00 ,https://pictures.abebooks.com/inventory/md/md31045229713.jpg,Literary First Editions
89,A Little Girl's Song - Vintage Sheet Music,"Nesbit, E. ; Bath, Hurbert",1908,! Turtle Creek Books  !,US$19.99 ,https://pictures.abebooks.com/inventory/md/md31013537405.jpg,Music (Vintage Sheet Music 1900-1909)
90,The Very Hungry Caterpillar,Eric Carle,1994,"Strand Book Store, ABAA",US$10.99 ,https://pictures.abebooks.com/isbn/9780399226908-us-300.jpg,Children-Board Books
91,Chicka Chicka Boom Boom (Classic Board Books),"Bill Martin, John Archambault, (Illustrator) Lois Ehlert",2012,"Strand Book Store, ABAA",US$5.95 ,https://pictures.abebooks.com/isbn/9781442450707-us-300.jpg,Children-Board Books
92,I Am a Bunny,"Ole Risom, (Illustrator) Richard Scarry",2004,"Strand Book Store, ABAA",US$9.99 ,https://pictures.abebooks.com/isbn/9780375827785-us-300.jpg,Children-Board Books
93,North and South (Penguin Classics),"Gaskell, Elizabeth",1970,"Robinson Street Books, IOBA",US$25.00 ,https://pictures.abebooks.com/isbn/9780140430554-us-300.jpg,Humanities
94,The New Historicism,"Veeser, Harold [Editor]",1989,"Robinson Street Books, IOBA",US$50.00 ,https://pictures.abebooks.com/isbn/9780415900706-us-300.jpg,Humanities
95,The French Lieutenant's Woman (Signet),"Fowles, John",1981,"Robinson Street Books, IOBA",US$17.00 ,https://pictures.abebooks.com/isbn/9780451163752-us-300.jpg,Humanities
96,Hobby Horses,"Lee, Amy Freeman",1940,"Robin Bledsoe, Bookseller (ABAA)",US$275.00 ,https://pictures.abebooks.com/inventory/md/md31685559521.jpg,Biographies of Horses and People
97,"Mineral Productions, County Maps and Mining Laws of California, Bulletin No. 56",California State Mining Bureau,1909,"High Ridge Books, Inc. - ABAA",US$325.00 ,https://pictures.abebooks.com/inventory/md/md31423194119.jpg,Atlases
98,Illustrated Historical Atlas of the State of Minnesota,"Andreas, A. T.",1874,"High Ridge Books, Inc. - ABAA","US$1,150.00 ",https://pictures.abebooks.com/inventory/md/md31423192200.jpg,Atlases
99,"The Annual Register or a View of the History, Politics and Literature for the Year 1758",Various,1791,World of Rare Books,US$45.60 ,https://pictures.abebooks.com/inventory/md/md31598384822.jpg,Humanities
100,McIan's Costumes of the Clans of Scotland,James Logan,1899,World of Rare Books,US$23.54 ,https://pictures.abebooks.com/inventory/md/md31402093048.jpg,Humanities
101,"A History of Eastington, Near Stonehouse in Gloucestershire",A. E. Keys,1111,World of Rare Books,US$47.68 ,https://pictures.abebooks.com/inventory/md/md31699730350.jpg,Humanities
102,"The League of Extraordinary Gentlemen, The Black Dossier, Absolute Edition",Alan Moore; Kevin O'Neill [Illustrator],2008,Arroway Books,US$12.97 ,https://pictures.abebooks.com/isbn/9781401207519-us-300.jpg,Science Fiction
103,The Sandman 1: Preludes & Nocturnes,"Gaiman, Neil",2010,Arroway Books,US$10.83 ,https://pictures.abebooks.com/isbn/9781401225759-us-300.jpg,Science Fiction
104,The History of the United States from 1492 to 1912 (Three Volume Set),"Hawthorne, Julian",1912,"The Book House, Inc.  - St. Louis",US$35.00 ,https://pictures.abebooks.com/inventory/md/md31184588534.jpg,American History (Presidents)
105,Sophie Scholl's Signed Membership Suspension Request From the Bund Deutscher Mädel,"Scholl, Sophie",1939,F枚ldv谩ri Books,US$994.64 ,https://pictures.abebooks.com/inventory/md/md30534217852.jpg,Autographs & Manuscripts
106,[ALS.] Sigmund Freud's Autograph Letter in German to Frau Wolff,"Freud, Sigmund",1927,F枚ldv谩ri Books,US$994.64 ,https://pictures.abebooks.com/inventory/md/md30748676759.jpg,Autographs & Manuscripts
107,Hugo Graetz's Guestbook with Original Artworks by Members of the Novembergruppe,"[Graetz, Hugo]; [Steinhardt, Jakob]; [Huth, Willy Robert]...",1965,F枚ldv谩ri Books,"US$1,864.95 ",https://pictures.abebooks.com/inventory/md/md30277770213.jpg,Autographs & Manuscripts
108,Rock Greenling,Joseph Tomelleri,2019,Arundel Books,US$950.00 ,https://pictures.abebooks.com/inventory/md/md30353556674.jpg,Broadsides & Prints
109,Poetry/Art Broadside Series,Siv Cedering; Robert Bly; William Stafford; Diane Wakoski...,1985,Arundel Books,US$20.00 ,https://pictures.abebooks.com/inventory/md/md30720277878.jpg,Broadsides & Prints
110,Lethe's Poppy [Broadside],"Petersen, Paulann",1989,Arundel Books,US$25.00 ,https://pictures.abebooks.com/inventory/md/md31517834667.jpg,Broadsides & Prints
111,"Leaves, Leaves","Young, Marguerite",1984,Arundel Books,US$20.00 ,https://pictures.abebooks.com/inventory/md/md1340813889.jpg,Broadsides & Prints
112,The Freeing of the Dust / Blue Egyptian Water Lily [Broadside / Print],"Levertov, Denise & Jim Dine",2022,Arundel Books,US$20.00 ,https://pictures.abebooks.com/inventory/md/md31521305954.jpg,Broadsides & Prints
113,'Fern Gully' Limited Edition Signed Print,Laura Hamje,2004,Arundel Books,US$40.00 ,https://pictures.abebooks.com/inventory/md/md31181458823.jpg,Broadsides & Prints
114,SCATTERED EPHEMERA - Tacoma 2004,Jessica Spring,1994,Arundel Books,US$30.00 ,https://pictures.abebooks.com/inventory/md/md30242032537.jpg,Broadsides & Prints
115,Showcase Magazine Collector's Edition,G. Gordon Dewey [Editor] Vol. 1 No. 1,1960,"32.1  Rare Books + Ephemera, IOBA, ESA",US$50.00 ,https://pictures.abebooks.com/inventory/md/md31231032214.jpg,Vintage Magazines
116,Gentleman Magazine,Bruce Arthur [Editor] Vol. 1 No. 5 April 1961,1961,"32.1  Rare Books + Ephemera, IOBA, ESA",US$25.00 ,https://pictures.abebooks.com/inventory/md/md31231024888.jpg,Vintage Magazines
117,Debonair Magazine,Harley R. MacCormack [Editor] Vol. 1 No. 2 February 1961,1960,"32.1  Rare Books + Ephemera, IOBA, ESA",US$25.00 ,https://pictures.abebooks.com/inventory/md/md31231024885.jpg,Vintage Magazines
118,Tiger Magazine,George Fox Jr. Vol. 2 No. 2 May 1957,1957,"32.1  Rare Books + Ephemera, IOBA, ESA",US$25.00 ,https://pictures.abebooks.com/inventory/md/md31231025798.jpg,Vintage Magazines
119,"Morton Salt Co. Grand Saline, TexasThe loading machine operator","Thollander, Earl (1922-2001)",1987,Wittenborn Art Books,US$125.00 ,https://pictures.abebooks.com/inventory/md/md22765802434.jpg,Book Arts
120,Bretagne 1939. Guide Duran. Edition Hachette.(Guides Touristiques),"Colombier, Jeanne",1932,Wittenborn Art Books,US$50.00 ,https://pictures.abebooks.com/inventory/md/md18741819766.jpg,Book Arts
121,Cutthroat Trout. Signed limited edition.,Derek Cowan.,1977,Wittenborn Art Books,US$50.00 ,https://pictures.abebooks.com/inventory/md/md21523019973.jpg,Book Arts
122,"Punch, Volume CCXV, 7 July to 29 December 1948",Punch,1948,World of Rare Books,US$23.14 ,https://pictures.abebooks.com/inventory/md/md31407386203.jpg,"Journals, Periodicals and Magazines"
123,"The Infernal Devices, Book Three, Clockwork Princess (signed, and with 10 Collector Postcards)","Clare, Cassandra (signed)",2013,About Books,US$300.00 ,https://pictures.abebooks.com/isbn/9781416975908-us-300.jpg,Modern First Editions
124,Alice's Adventures in Wonderland (Signed limited edition),"Dali, Salvador (illustrator); Lewis Carroll",1969,"Whitmore Rare Books, Inc. -- ABAA, ILAB","US$12,500.00 ",https://pictures.abebooks.com/inventory/md/md31598706317.jpg,Signed Books
125,Gone with the Wind (Inscribed First Edition),"Mitchell, Margaret",1936,"Whitmore Rare Books, Inc. -- ABAA, ILAB","US$2,950.00 ",https://pictures.abebooks.com/inventory/md/md31577960980.jpg,Signed Books
126,The Works of Arthur Conan Doyle (Signed author's edition in 12 vols.),"Doyle, Sir Arthur Conan",1903,"Whitmore Rare Books, Inc. -- ABAA, ILAB",US$950.00 ,https://pictures.abebooks.com/inventory/md/md31418730016.jpg,Signed Books
127,Works (Signed limited edition in 40 vols.),"Dickens, Charles",1908,"Whitmore Rare Books, Inc. -- ABAA, ILAB","US$7,500.00 ",https://pictures.abebooks.com/inventory/md/md30465881614.jpg,Signed Books
128,Grapefruit (Signed First Edition),"Ono, Yoko",1971,"Whitmore Rare Books, Inc. -- ABAA, ILAB","US$19,500.00 ",https://pictures.abebooks.com/inventory/md/md30617144105.jpg,Signed Books
129,My Life in France,"Child, Julia; Prud'homme, Alex",2009,Great Southern Books,US$10.19 ,https://pictures.abebooks.com/inventory/md/md12732146266.jpg,Personal Memoirs
130,Shipwreck Tales: The St. Clair River (to 1900),"KOHL, Cris",1987,"Attic Books (ABAC, ILAB)",US$35.00 ,https://pictures.abebooks.com/inventory/md/md31253195655.jpg,Rivers
131,Mighty River: A Portrait of the Fraser,"BOCKING, Richard C.",1997,"Attic Books (ABAC, ILAB)",US$40.00 ,https://pictures.abebooks.com/inventory/md/md31259948526.jpg,Rivers
132,"Rock, River & Thorn: The Big Bend of the Rio Grande","ARMSTRONG, Frank",2001,"Attic Books (ABAC, ILAB)",US$50.00 ,https://pictures.abebooks.com/inventory/md/md22445776935.jpg,Rivers
133,A Summer on the Nene,"WATKINS-PITCHFORD, D. J.",1967,"Attic Books (ABAC, ILAB)",US$50.00 ,https://pictures.abebooks.com/inventory/md/md9009586120.jpg,Rivers
134,The Censors (A Bilingual Selection of Stories),"Valenzuela, Luisa",1988,Abacus Bookshop,US$10.00 ,https://pictures.abebooks.com/isbn/9780915306121-us-300.jpg,Latin American Literature
135,Living to Tell the Tale,"Garcia Marquez, Gabriel",2003,Abacus Bookshop,US$7.50 ,https://pictures.abebooks.com/isbn/9781400041343-us-300.jpg,Latin American Literature
136,Strange Pilgrims: Twelve Stories,"Garcia Marquez, Gabriel",1993,Abacus Bookshop,US$15.00 ,https://pictures.abebooks.com/isbn/9780679425663-us-300.jpg,Latin American Literature
137,The Antiquarian,"Faveron Patriau, Gustavo",2014,Abacus Bookshop,US$7.50 ,https://pictures.abebooks.com/isbn/9780802121608-us-300.jpg,Latin American Literature
138,Memories of My Melancholy Whores,"Garcia Marquez, Gabrie",2005,Abacus Bookshop,US$20.00 ,https://pictures.abebooks.com/isbn/9781400044603-us-300.jpg,Latin American Literature
139,"Memory of Fire, II: Faces and Masks, Part Two of a Trilogy","Galeano, Eduardo",1985,Abacus Bookshop,US$10.00 ,https://pictures.abebooks.com/isbn/9780393318067-us-300.jpg,Latin American Literature
140,The Movement Vol. 2: Fighting for the Future (The New 52),Gail Simone,2014,Firefly Bookstore,US$16.99 ,https://pictures.abebooks.com/isbn/9781401249526-us-300.jpg,DC Comics
141,"X-Treme X-Men, Vol. 1: Destiny (Xtreme)",Chris Claremont,2003,Firefly Bookstore,US$14.99 ,https://pictures.abebooks.com/isbn/9780785108412-us-300.jpg,DC Comics
142,JEAN HOWARD'S HOLLYWOOD: A PHOTO MEMOIR,"Howard, Jean, and James Watters",1989,Tennyson Williams Books and Fine Art,US$95.00 ,https://pictures.abebooks.com/inventory/md/md31068068963.jpg,Photographs
143,CHARLES H. NIEPOTH'S ARCHIVE OF FORD MOTOR COMPANY MATERIAL (1947-1958),"Ford, Henry, II; Harold T. Youngren; and Others",1947,Tennyson Williams Books and Fine Art,US$95.00 ,https://pictures.abebooks.com/inventory/md/md30988265975.jpg,Photographs
144,"On Surnames and the Rules of Law Affecting Their Change, Second Edition.BOUND WITH Supplement to ...",Falconer. Thomas,1862,Carmarthenshire Rare Books,US$32.69 ,https://pictures.abebooks.com/inventory/md/md11320347350.jpg,Antiquarian
145,Chambers's Encyclopaedia. A Dictionary of Universal Knowledge. New Edition in Ten Volumes. NEAR F...,Chambers. William and Robert,1906,Carmarthenshire Rare Books,US$385.74 ,https://pictures.abebooks.com/inventory/md/md31575565231.jpg,Antiquarian
146,"México y Sus Alrededores. Coleccion De Vistas Trajes y Monumentos Por C. Castro,J. Campillo,L. Au...",Castro. C. Et al,1855,Carmarthenshire Rare Books,US$313.83 ,https://pictures.abebooks.com/inventory/md/md20220244273.jpg,Antiquarian
147,The Witches' Brew,"PRATT, E. J.",1925,"Attic Books (ABAC, ILAB)",US$25.00 ,https://pictures.abebooks.com/inventory/md/md16797498567.jpg,Poetry
148,The Book of Nightmares,"KINNELL, Galway",1971,"Attic Books (ABAC, ILAB)",US$45.00 ,https://pictures.abebooks.com/inventory/md/md31423159760.jpg,Poetry
149,The Journals of Susanna Moodie: Poems by Margaret Atwood,"ATWOOD, Margaret",1970,"Attic Books (ABAC, ILAB)",US$40.00 ,https://pictures.abebooks.com/inventory/md/md31181404126.jpg,Poetry
150,Collected Poems of Raymond Souster Volume Two 1955-62,"SOUSTER, Raymond",1981,"Attic Books (ABAC, ILAB)",US$20.00 ,https://pictures.abebooks.com/inventory/md/md30907012265.jpg,Poetry
151,The Titanic,"PRATT, E. J.",1935,"Attic Books (ABAC, ILAB)",US$25.00 ,https://pictures.abebooks.com/inventory/md/md31264403043.jpg,Poetry
152,TWELVE CHINKS AND A WOMAN. (Book #160 in the Vintage Harlequin Paperbacks Series; Later Published...,"Chase, James Hadley. ( pseudonym of Rene Brabazon Raymond...",1952,Comic World,US$21.00 ,https://pictures.abebooks.com/inventory/md/md1272440250.jpg,Canadian Vintage PB Harlequin Collins White Circle
153,THE MANATEE (Vintage HARLEQUIN Book #1; Strange Loves of a Sea Man; Nantucket at the height of th...,"Bruff, Nancy.",1949,Comic World,US$49.00 ,https://pictures.abebooks.com/inventory/md/md31318957935.jpg,Canadian Vintage PB Harlequin Collins White Circle
