title,author,pub_year,publisher,price,img,class,isbn
Mr Poppleberry and Fred the White Cockatoo,Kathleen Hale,1990,MacKellar Art &  Books,US$38.92 ,https://pictures.abebooks.com/inventory/md/md6161147797.jpg,Children's Illustrated Books,0224025872
SOUR GRAPES: A Book of Poems,"Williams, William Carlos",1921,Tennyson Williams Books and Fine Art,US$325.00 ,https://pictures.abebooks.com/inventory/md/md22795876443.jpg,Literary First Editions,0253334292
The Very Hungry Caterpillar,Eric Carle,1994,"Strand Book Store, ABAA",US$7.99 ,https://pictures.abebooks.com/isbn/9780399226908-us-300.jpg,Children-Board Books,0451470796
Chicka Chicka Boom Boom (Classic Board Books),"Bill Martin, John Archambault, (Illustrator) Lois Ehlert",2012,"Strand Book Store, ABAA",US$5.99 ,https://pictures.abebooks.com/isbn/9781442450707-us-300.jpg,Children-Board Books,0312510810
"The League of Extraordinary Gentlemen, The Black Dossier, Absolute Edition",Alan Moore; Kevin O'Neill [Illustrator],2008,Arroway Books,US$22.80 ,https://pictures.abebooks.com/isbn/9781401207519-us-300.jpg,Science Fiction,1401207510
The Sandman 1: Preludes & Nocturnes,"Gaiman, Neil",2010,Arroway Books,US$9.99 ,https://pictures.abebooks.com/isbn/9781401225759-us-300.jpg,Science Fiction,0785156593
The Yellow Admiral,"O'Brian, Patrick",1996,Arroway Books,US$14.98 ,https://pictures.abebooks.com/isbn/9780393040449-us-300.jpg,Science Fiction,1401231764
"Starry Messenger: A Book Depicting the Life of a Famous Scientist, Mathematician, Astronomer, Phi...","Sis, Peter",1996,"Crooked House Books & Paper, CBA",US$15.00 ,https://pictures.abebooks.com/inventory/md/md31256761322.jpg,Children's Picture Books,0374337950
The Biggest Bear,"Ward, Lynd",1952,"Crooked House Books & Paper, CBA",US$15.00 ,https://pictures.abebooks.com/inventory/md/md30823604028.jpg,Children's Picture Books,0689304676
The History of the United States from 1492 to 1912 (Three Volume Set),"Hawthorne, Julian",1912,"The Book House, Inc.  - St. Louis",US$75.00 ,https://pictures.abebooks.com/inventory/md/md31184588534.jpg,American History (Presidents),0394528352
Christmas in Plains: Memories,"Carter, Jimmy",2001,"The Book House, Inc.  - St. Louis",US$18.00 ,https://pictures.abebooks.com/inventory/md/md31442554015.jpg,American History (Presidents),158218108X
Tomb Raider Volume 1 : Season of the Witch,Gail Simone,2014,Firefly Bookstore,US$19.99 ,https://pictures.abebooks.com/isbn/9781616554910-us-300.jpg,Dark Horse,1616554916
ApocalyptiGirl: An Aria for the End Times,Andrew MacLean,2015,Firefly Bookstore,US$8.99 ,https://pictures.abebooks.com/isbn/9781616555665-us-300.jpg,Dark Horse,1616554681
R.I.P.D. Volume 2: City of the Damned,"Peter Lenkov, Jeremy Barlow, Tony Parker",2013,Firefly Bookstore,US$19.99 ,https://pictures.abebooks.com/isbn/9781616551131-us-300.jpg,Dark Horse,1616554711
THE ART OF FARRIERY both in theory and practice,mr JOHN REEVES,1759,Bingo Books 2,US$9.50 ,https://pictures.abebooks.com/inventory/md/md30472364436.jpg,Ancient History,0140436324
The Dragon Waiting: A Masque of History,"Ford, John M.",1983,Bingo Books 2,US$41.00 ,https://pictures.abebooks.com/isbn/9780671475529-us-300.jpg,Ancient History,0847821269
Under Taos Mountain: The Terrible Quarrel Of Magpie And Tia,Penelope Scambly Schott,2009,Bingo Books 2,US$66.00 ,https://pictures.abebooks.com/isbn/9780980221152-us-300.jpg,Ancient History,0262112949
Jesus Out to Sea; and Other Stories,"Burke, James Lee",2008,Anthology Booksellers,US$60.50 ,https://pictures.abebooks.com/inventory/md/md30539012478.jpg,Literary First Editions,0060161124
Ali's Smile / Naked Scientology,"Burroughs, William S.",1978,Anthology Booksellers,US$60.50 ,https://pictures.abebooks.com/isbn/9783880300118-us-300.jpg,Literary First Editions,0887502245
Stride Toward Freedom: The Montgomery Story,"King Jr, Martin Luther",1958,Mainly Books,US$44.00 ,https://pictures.abebooks.com/inventory/md/md31408531486.jpg,American History,0816511799
Backcloth. The Final Volume of His Autobiography,Dirk Bogarde,1986,The London Bookworm,US$70.05 ,https://pictures.abebooks.com/isbn/9780670811328-us-300.jpg,Modern First Editions,0771086938
The Silkworm. A Cormoran Strike Novel,Robert Galbrath,2014,The London Bookworm,US$46.70 ,https://pictures.abebooks.com/isbn/9781408704028-us-300.jpg,Modern First Editions,0575034831
The Silkworm. A Cormoran Strike Novel,Robert Galbrath,2014,The London Bookworm,US$88.73 ,https://pictures.abebooks.com/isbn/9781408704028-us-300.jpg,Modern First Editions,0234774541
The Silkworm. A Cormoran Strike Novel,Robert Galbrath,2014,The London Bookworm,US$37.35 ,https://pictures.abebooks.com/isbn/9781408704028-us-300.jpg,Modern First Editions,070914198X
Smert i deva. Ekho neznakomtsev,Mitchell G.,2019,Ruslania,US$80.04 ,https://pictures.abebooks.com/inventory/md/md30237235046.jpg,Detective,9523335170
Murder on the Leviathan. Erast Fandorin 3,Akunin Boris,2004,Ruslania,US$65.59 ,https://pictures.abebooks.com/inventory/md/md30564451360.jpg,Detective,9949870631
Chasovschik s Filigrannoj ulitsy,Pulley Natasha,2019,Ruslania,US$70.04 ,https://pictures.abebooks.com/inventory/md/md30326633648.jpg,Detective,5041020957
Tokijskij Zodiak,Shimada Soji,2023,Ruslania,US$71.15 ,https://pictures.abebooks.com/inventory/md/md30237227696.jpg,Detective,5445900975
Saatuslik tõotus,Marsons Angela,2023,Ruslania,US$62.26 ,https://pictures.abebooks.com/inventory/md/md31636433882.jpg,Detective,9916125996
Vera wongi isiklik nõuanne mõrvaritele,Sutanto Jesse,2023,Ruslania,US$64.48 ,https://pictures.abebooks.com/inventory/md/md31636445153.jpg,Detective,5041020701
"The Conservative Complete, 1915 - 1923 -by H P Lovecraft / Necronomicon Press","Lovecraft, H P ( Howard Phillips ); Foreword By Frank Bel...",1977,Leonard Shoup,US$382.46 ,https://pictures.abebooks.com/inventory/md/md31373356099.jpg,H P Lovecraft,1592912966
"The Lovecraft Collectors Library, Volume I - Volume VII /-by George T Wetzel ( Strange Company Fa...","Lovecraft, H.P. ( Howard Phillips ); George T Wetzel; R A...",1979,Leonard Shoup,US$16.96 ,https://pictures.abebooks.com/inventory/md/md31363803800.jpg,H P Lovecraft,1568820135
"7 Volumes in Slipcase: PROVIDENCE (the slipcased Set with NEONOMICON, Providence Acts 1, 2, 3 & D...","Moore, Alan (signed) / Jacen Burrows (signed) William Chr...",2017,Leonard Shoup,US$63.71 ,https://pictures.abebooks.com/inventory/md/md31351557184.jpg,H P Lovecraft,187825250X
The Magpies: The Ecology and Behaviour of Black-billed and Yellow-billed Magpies,"Birkhead, Tim R.",1998,St Paul's Bookshop P.B.F.A.,US$38.92 ,https://pictures.abebooks.com/isbn/9780856610677-us-300.jpg,Art Books,0856610992
The Golden Eagle (T & AD Poyser),"Watson, Jeff",1997,St Paul's Bookshop P.B.F.A.,US$15.57 ,https://pictures.abebooks.com/isbn/9780856610998-us-300.jpg,Art Books,0753709716
Rivers,"Nigel Holmes, Paul Raven",2014,St Paul's Bookshop P.B.F.A.,US$32.43 ,https://pictures.abebooks.com/isbn/9780956490254-us-300.jpg,Art Books,0198573588
"The Architecture of Sharpe, Paley and Austin","Brandwood, Geoff",2012,St Paul's Bookshop P.B.F.A.,US$9.74 ,https://pictures.abebooks.com/isbn/9781848020498-us-300.jpg,Art Books,0192141554
Birds of Kenya and Northern Tanzania,"Zimmerman, Dale A.; Pratt, Doug",1996,St Paul's Bookshop P.B.F.A.,US$12.97 ,https://pictures.abebooks.com/isbn/9780713639681-us-300.jpg,Art Books,147290625X
"Fledgling Eagles: Complete Account of Air Operations During the ""Phoney War"" and Norwegian Campai...","Shores, Christopher; Etc.; Et Al",1991,St Paul's Bookshop P.B.F.A.,US$25.94 ,https://pictures.abebooks.com/isbn/9780948817427-us-300.jpg,Art Books,0747022011
