title,author,pub_year,publisher,price,img,class,isbn
Food & Wine in Europe: Where To Go To Get The Best in 22 Coutries,"Hellman, Renee",1972,The Parnassus BookShop,US$6.77 ,https://pictures.abebooks.com/inventory/md/md18160079582.jpg,"Travel, Travel Writing, Travel Adventure",0760759820
The Irish Sketch Book. Volume I,"THACKERAY, WILLIAM MAKEPEACE",1891,The Parnassus BookShop,US$10.17 ,https://pictures.abebooks.com/inventory/md/md17681484213.jpg,"Travel, Travel Writing, Travel Adventure",1864501936
HANG-UPS paintings by jonathan winters,"WINTERS, JONATHAN",1988,27 sellers,US$30.00 ,https://pictures.abebooks.com/isbn/9780394570242-us-300.jpg,Crafts And Hobbies,0821418254
Engraved Powder Horns of the French and Indian War and Revolutionary War,Multiple Contributors,1978,27 sellers,US$40.51 ,https://pictures.abebooks.com/inventory/md/md31474082211.jpg,Crafts And Hobbies,0912608250
Merrick - 1st Edition/1st Printing,"Rice, Anne",2000,22 sellers,US$59.17 ,https://pictures.abebooks.com/inventory/md/md12650394319.jpg,Fiction (Horror),0375402608
"Deadlocked (Sookie Stackhouse/True Blood, Book 12)","Rice, Anne",2012,22 sellers,US$30.94 ,https://pictures.abebooks.com/isbn/9781937007447-us-300.jpg,Fiction (Horror),0060011904
Violin - 1st Trade Edition,"Rice, Anne",1997,22 sellers,US$75.00 ,https://pictures.abebooks.com/inventory/md/md963309900.jpg,Fiction (Horror),1592911404
You Suck,"Koontz, Dean",2007,22 sellers,US$75.00 ,https://pictures.abebooks.com/inventory/md/md963311032.jpg,Fiction (Horror),0441015220
The Best Of Me - 1st Edition/1st Printing,"Sparks, Nicholas",2011,25 sellers,US$130.00 ,https://pictures.abebooks.com/inventory/md/md6276480615.jpg,Fiction (Romance),0877958262
Outer Banks,"Lyall, David [aka Annie S Swan]",1991,25 sellers,US$79.95 ,https://pictures.abebooks.com/inventory/md/md1395857062.jpg,Fiction (Romance),0385267010
Hill Towns - 1st Edition/1st Printing,"Sparks, Nicholas",1993,25 sellers,US$135.74 ,https://pictures.abebooks.com/inventory/md/md1395857061.jpg,Fiction (Romance),0060092726
At First Sight - 1st Edition/1st Printing,"Sparks, Nicholas",2005,25 sellers,US$40.43 ,https://pictures.abebooks.com/inventory/md/md21829825718.jpg,Fiction (Romance),0385319002
Nights in Rodanthe - 1st Edition/1st Printing,"Siddons, Anne Rivers",2002,25 sellers,US$24.95 ,https://pictures.abebooks.com/inventory/md/md31495590959.jpg,Fiction (Romance),0312282001
The Choice - 1st Edition/1st Printing,"Chevalier, Tracy",2007,25 sellers,US$25.00 ,https://pictures.abebooks.com/inventory/md/md31495588208.jpg,Fiction (Romance),078650062X
"The Wager: A Tale of Shipwreck, Mutiny and Murder","Grann, David",2023,109 sellers,US$125.00 ,https://pictures.abebooks.com/inventory/md/md31649779690.jpg,Modern First Editions,0385534264
Where the Crawdads Sing,"Wilkerson, Isabel",2018,109 sellers,US$175.00 ,https://pictures.abebooks.com/inventory/md/md31435061927.jpg,Modern First Editions,195353418X
Circe,"Westover, Tara",2018,109 sellers,US$75.00 ,https://pictures.abebooks.com/inventory/md/md31435058152.jpg,Modern First Editions,0525558969
The Overstory,"Towles, Amor",2018,109 sellers,US$500.00 ,https://pictures.abebooks.com/inventory/md/md30987161658.jpg,Modern First Editions,0735219443
The Song of the Cell: An Exploration of Medicine and the New Human,"Owens, Delia",2022,109 sellers,US$850.00 ,https://pictures.abebooks.com/inventory/md/md31649789965.jpg,Modern First Editions,006016767X
The Winners: A Novel (Beartown Series),"Ng, Celeste",2022,109 sellers,US$50.00 ,https://pictures.abebooks.com/inventory/md/md31404768204.jpg,Modern First Editions,1609456580
Drums of Autumn,"Gabaldon, Diana",1997,13 sellers,US$49.95 ,https://pictures.abebooks.com/isbn/9780385311403-us-300.jpg,Historical Romance,0385311400
"LOVE, HEAR MY HEART","Bittner, Rosanne",1990,13 sellers,US$57.81 ,https://pictures.abebooks.com/isbn/9780821729137-us-300.jpg,Historical Romance,9510435724
Voyager: A Novel (Outlander) (Mass Market Paperback),"Rhodes, Jewell Parker",1994,13 sellers,US$40.00 ,https://pictures.abebooks.com/inventory/md/md31455482307_2.jpg,Historical Romance,0440221668
Ystäväni Anne Frank,Thomas H. Raddall,2023,13 sellers,US$6.00 ,https://pictures.abebooks.com/inventory/md/md31584840283.jpg,Historical Romance,0440245680
Menneisyydenhallintalaitos,"PELTON, Sonya T.",2021,13 sellers,US$4.75 ,https://pictures.abebooks.com/inventory/md/md31539772810.jpg,Historical Romance,0553563327
MURDER BY OWL LIGHT,"SAWYER, Corinne Holt",1992,2 sellers,US$8.10 ,https://pictures.abebooks.com/inventory/md/md22541079964.jpg,Fiction (Crime Fiction),0752883216
TWO FOR THE DOUGH: Sephanie Plum: No. 2,"DAVIES, Lindsey",1996,2 sellers,US$6.75 ,https://pictures.abebooks.com/inventory/md/md30832887659.jpg,Fiction (Crime Fiction),0330257870
Hickory Dickory Dock,"DAVIS, Lindsey",1967,2 sellers,US$5.40 ,https://pictures.abebooks.com/inventory/md/md31001237188.jpg,Fiction (Crime Fiction),0586056769
A Silent Death,"DAVIS, Lindsey",2020,2 sellers,US$6.75 ,https://pictures.abebooks.com/inventory/md/md31022428203.jpg,Fiction (Crime Fiction),0330261398
A Divided Spy,"EVANOVICH, Janet",2017,2 sellers,US$23.63 ,https://pictures.abebooks.com/inventory/md/md31099423694.jpg,Fiction (Crime Fiction),0712658319
The Art of Engraving,"Meek, James B.",1973,82 sellers,US$270.00 ,https://pictures.abebooks.com/inventory/md/md31552748285.jpg,Crafts & Hobbies,0811725154
Tom Tichenor's Puppets,"[Minnelli, Liza]",1971,82 sellers,US$28.37 ,https://pictures.abebooks.com/inventory/md/md317131132.jpg,Crafts & Hobbies,0345507517
Dolls To Make: For Fun and Profit,Baird Bill,1938,82 sellers,US$20.00 ,https://pictures.abebooks.com/inventory/md/md31542220105.jpg,Crafts & Hobbies,1863511121
"The Art of Fair Isle: History, Technique, Color & Patterns","Crow, Nancy",1996,82 sellers,US$75.00 ,https://pictures.abebooks.com/inventory/md/md31493087233.jpg,Crafts & Hobbies,0816510016
"The Satisfaction of Stitchery (Signed By Author + Photos, Limited Edition)","Tichenor, Tom",1983,82 sellers,US$150.00 ,https://pictures.abebooks.com/inventory/md/md18089464294.jpg,Crafts & Hobbies,0553263153
HOUSE OF LEAVES,"DANIELEWSKI, MARK Z.",2000,272 sellers,"US$37,995.00 ",https://pictures.abebooks.com/inventory/md/md31365001941.jpg,Horror,1587671549
PET SEMATARY (signed 1st),BRAM STOKER,1983,272 sellers,US$50.00 ,https://pictures.abebooks.com/inventory/md/md9906635603.jpg,Horror,0345545966
THE STAND (SIGNED AND INSCRIBED),"Ketchum, Jack",1978,272 sellers,US$25.00 ,https://pictures.abebooks.com/inventory/md/md31323249763.jpg,Horror,1585678554
DESPERATION,"King, Stephen",1996,272 sellers,US$88.94 ,https://pictures.abebooks.com/inventory/md/md31273659441.jpg,Horror,0060162767
CARRIE (SIGNED),"King, Stephen",1974,272 sellers,"US$1,495.00 ",https://pictures.abebooks.com/inventory/md/md30816258418.jpg,Horror,0739453424
Reborn,"King, Stephen; Whelan, Michael [Illustrations]",1990,272 sellers,US$60.00 ,https://pictures.abebooks.com/inventory/md/md11951808206.jpg,Horror,0399162941
The Lord of the Rings. The Fellowship of the Ring; The Two Towers; The Return of the King,"Tolkien, J. R. R.",1954,218 sellers,US$40.00 ,https://pictures.abebooks.com/inventory/md/md31597460110.jpg,Signed,0517585162
American Dirt: A Novel ***AUTHOR SIGNED***,"Morrison, Toni",2020,218 sellers,US$49.50 ,https://pictures.abebooks.com/inventory/md/md31405139935.jpg,Signed,1594634475
Rosa Parks: My Story,Bonnie Garmus,1992,218 sellers,US$50.00 ,https://pictures.abebooks.com/inventory/md/md31586781925.jpg,Signed,0399148701
The Invention of Hugo Cabret,"Doerr, Anthony",2007,218 sellers,US$49.50 ,https://pictures.abebooks.com/isbn/9780439813785-us-300.jpg,Signed,1594634475
The Maidens: A Novel *** AUTHOR SIGNED ARC,"Cummins, Jeanine",2021,218 sellers,US$25.00 ,https://pictures.abebooks.com/inventory/md/md31479263917.jpg,Signed,1419705849
Tenth of December: Stories ***AUTHOR SIGNED***,"Davis, Angela",2013,218 sellers,US$40.00 ,https://pictures.abebooks.com/inventory/md/md30191238194.jpg,Signed,006016767X
March: A Novel ***AUTHOR SIGNED***,"Lawrence, Jacob [Art]; Peter T. Nesbett [Editor]; Michell...",2005,218 sellers,"US$1,142.31 ",https://pictures.abebooks.com/inventory/md/md31395207125.jpg,Signed,0679600477
The First Book of Africa.,"Hughes, Langston",1960,150 sellers,"US$3,000.00 ",https://pictures.abebooks.com/inventory/md/md31138664127.jpg,First Editions,1250209765
Shakespeare in Harlem.,"Fitzgerald, F. Scott",1942,150 sellers,US$59.00 ,https://pictures.abebooks.com/inventory/md/md31096650507.jpg,First Editions,0394551419
Harlem Shuffle,Bonnie Garmus,2021,150 sellers,US$54.00 ,https://pictures.abebooks.com/inventory/md/md31214116924.jpg,First Editions,1476795924
Birnam Wood,Jeanine Cummins,2023,150 sellers,US$85.00 ,https://pictures.abebooks.com/inventory/md/md31460924252.jpg,First Editions,0525509593
Oh William!,"Hughes, Langston",2021,150 sellers,US$59.00 ,https://pictures.abebooks.com/inventory/md/md31369209583.jpg,First Editions,147365744X
Matrix,Celeste Ng,2021,150 sellers,US$25.88 ,https://pictures.abebooks.com/inventory/md/md31028972805.jpg,First Editions,0063250837
The Glass Hotel,Emiliy St. John Mandel,2020,150 sellers,US$61.00 ,https://pictures.abebooks.com/inventory/md/md31635753062.jpg,First Editions,0307270645
The Cat in the Hat,Dr. Seuss,1958,45 sellers,"US$3,243.05 ",https://pictures.abebooks.com/inventory/md/md30944390159.jpg,Signed First Editions,0525555218
Bewilderment,"Towles, Amor",1974,45 sellers,US$40.00 ,https://pictures.abebooks.com/inventory/md/md31416882688.jpg,Signed First Editions,0316155306
The Art of Michael Whelan,Richard Matheson,2022,45 sellers,US$75.00 ,https://pictures.abebooks.com/inventory/md/md22903682828_2.jpg,Signed First Editions,0385352875
Lightning,"BROWN, Pierce",2021,45 sellers,US$850.00 ,https://pictures.abebooks.com/inventory/md/md31592506092.jpg,Signed First Editions,0316154075
"The Information: A History, A Theory, A Flood","Powers, Richard",2020,45 sellers,US$45.00 ,https://pictures.abebooks.com/inventory/md/md31033391035.jpg,Signed First Editions,0688163165
The March **SIGNED**,"Michener, James A.",1999,45 sellers,US$79.00 ,https://pictures.abebooks.com/isbn/9780375506710-us-300.jpg,Signed First Editions,1565123670
